CustomerID,Age,AnnualIncome,PurchaseHistory,SpendingScore,Cluster,KMeans_Cluster,Customer_Segment,Marketing_Suggestion
CUST033,25,33038,7,39,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST034,33,22640,3,24,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST035,30,38004,5,38,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST036,22,46846,7,37,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST037,35,29123,7,21,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST038,30,27561,3,12,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST039,23,24957,4,31,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST040,25,20395,8,36,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST041,23,28609,5,10,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST042,22,33728,9,21,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST043,28,24112,9,40,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST044,19,34963,9,22,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST045,30,33073,7,13,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST046,33,40784,7,11,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST047,24,22206,4,24,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST048,23,23602,6,29,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST049,19,23354,1,28,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST050,22,37583,2,40,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST051,36,41671,9,46,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST052,44,64656,10,60,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST053,33,62766,17,51,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST054,40,48050,9,55,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST055,39,71483,15,49,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST056,27,49444,9,50,Regular,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST057,48,57351,15,45,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST058,41,41513,11,56,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST059,36,49607,19,57,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST060,25,74610,12,60,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST061,27,57112,16,51,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST062,30,63310,20,47,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST063,42,75492,20,56,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST064,35,54617,17,46,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST065,50,55688,14,47,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST066,31,73923,15,51,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST067,48,41899,8,48,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST068,40,56985,11,59,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST069,36,69309,20,51,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST070,36,45278,11,43,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST071,32,70807,11,50,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST072,31,71631,17,59,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST073,25,71422,18,51,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST074,50,45556,18,43,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST075,37,53062,15,45,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST076,38,61791,9,52,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST077,39,66305,19,42,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST078,48,50410,10,44,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST079,25,49905,17,54,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST080,50,49579,17,59,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST081,40,62964,10,57,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST082,42,48584,8,40,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST083,50,46735,16,44,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST084,38,52766,11,40,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST085,33,53944,12,56,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST086,32,78432,13,48,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST087,42,67460,10,41,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST088,48,63185,15,58,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST089,41,67566,16,44,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST090,42,49950,16,56,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST091,25,68844,20,45,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST092,44,40257,20,44,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST093,30,49277,15,59,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST094,48,47886,16,41,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST095,35,73970,16,57,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST096,40,46953,16,41,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST097,32,52537,12,41,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST098,49,46405,16,54,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST099,42,41826,20,42,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST100,39,61339,17,56,Regular,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST101,49,103565,21,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST102,44,103302,32,75,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST103,46,86230,31,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST104,59,106668,21,74,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST105,34,97304,18,72,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST106,44,90708,17,67,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST107,43,74792,21,69,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST108,55,78018,19,80,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST109,51,93998,19,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST110,58,78995,29,67,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST111,53,76168,27,75,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST112,35,113767,22,65,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST113,52,98280,31,72,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST114,40,97608,21,71,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST115,40,76042,26,60,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST116,40,106310,29,74,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST117,52,71185,27,70,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST118,46,110889,24,76,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST119,60,74213,18,67,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST120,58,76866,17,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST121,38,72594,20,68,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST122,54,78490,28,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST123,42,79788,32,76,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST124,48,102414,25,62,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST125,38,73770,20,73,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST126,58,74745,23,60,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST127,50,75804,23,62,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST128,49,84575,17,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST129,57,77974,29,60,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST130,40,106245,28,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST131,49,78468,16,76,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST132,52,85626,18,65,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST133,38,73301,20,66,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST134,59,90446,35,69,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST135,46,119774,21,69,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST136,44,102773,20,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST137,41,71190,23,61,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST138,30,71208,31,77,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST139,36,103700,30,67,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST140,59,99298,18,80,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST141,43,113025,30,77,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST142,56,95761,31,69,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST143,52,84102,22,70,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST144,36,116315,35,64,Premium,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST145,42,92777,16,64,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST146,30,74634,35,68,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST147,43,80698,16,62,Premium,0,Regular,"Offer loyalty rewards, bundle offers and personalized product recommendations."
CUST148,51,94961,31,69,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST149,49,85873,24,61,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST150,44,82147,20,68,Premium,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST151,39,100474,38,91,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST152,55,143113,47,90,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST153,32,104515,39,86,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST154,36,123980,30,90,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST155,37,110995,45,88,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST156,41,126342,37,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST157,49,100648,32,88,VIP,3,Premium,"Promote premium products, exclusive offers and early access to new products."
CUST158,51,111764,34,92,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST159,43,105461,42,80,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST160,34,139877,50,87,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST161,27,176753,46,84,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST162,46,178192,42,90,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST163,48,164774,34,89,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST164,48,118972,31,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST165,45,156261,46,84,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST166,54,168649,46,98,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST167,51,102107,48,100,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST168,32,111153,30,81,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST169,29,147278,33,92,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST170,51,159164,47,81,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST171,45,102469,50,97,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST172,46,132054,45,88,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST173,25,159893,32,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST174,53,170149,32,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST175,27,162109,38,82,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST176,52,134807,37,86,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST177,32,160337,45,92,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST178,27,162784,39,81,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST179,44,125990,32,99,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST180,29,143486,38,100,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST181,48,139900,49,98,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST182,29,101634,45,81,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST183,40,135228,33,86,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST184,46,164174,39,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST185,34,160904,44,94,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST186,49,115532,47,86,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST187,34,111253,45,80,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST188,34,160158,32,96,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST189,55,158910,38,92,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST190,31,127618,32,98,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST191,27,118578,46,88,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST192,55,147127,34,99,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST193,51,166682,38,83,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST194,47,147865,37,95,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST195,53,163719,42,80,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST196,30,100470,45,94,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST197,37,139577,34,93,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST198,36,149296,40,83,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST199,51,143427,30,90,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
CUST200,49,144338,42,83,VIP,1,VIP,"Provide personalized offers, VIP memberships, priority service and exclusive products."
